name,link,address,urls,score
Орокская СШ с.Селекционное,/profile:55/orokskaya-ssh-sselekcionnoe/?from=bilim&place=list,"Чуйская область, Сокулукский район  нет",https://bilim.akipress.org/profile:55/orokskaya-ssh-sselekcionnoe/?from=bilim&place=list,нет
СШ №59,/profile:2178/ssh-59/?from=bilim&place=list,"Бишкек, Ленинский район  Лущихина 35",https://bilim.akipress.org/profile:2178/ssh-59/?from=bilim&place=list,133.7
Лицей-интернат №28 им. У.Салиевой,/profile:3514/liceiinternat-28-im-usalievoi/?from=bilim&place=list, ,https://bilim.akipress.org/profile:3514/liceiinternat-28-im-usalievoi/?from=bilim&place=list,
СШ №2,/profile:458/ssh-2/?from=bilim&place=list,"Бишкек, Ленинский район  720001 Пушкина, 125",https://bilim.akipress.org/profile:458/ssh-2/?from=bilim&place=list,122.9
Учебно – образовательный комплекс «Эрудит»,/profile:35/uchebno-obrazovatelnyi-kompleks-erudit/?from=bilim&place=list,"Бишкек, Свердловский район  Бишкек, улица имени Куйручука, 71 (Ахунбаева-Алма-Атинская)",https://bilim.akipress.org/profile:35/uchebno-obrazovatelnyi-kompleks-erudit/?from=bilim&place=list,нет
Авторская школа-комплекс,/profile:160/avtorskaya-shkolakompleks/?from=bilim&place=list,"Бишкек, Свердловский район  Бишкек, микрорайон Аламедин-1, дом 76/1",https://bilim.akipress.org/profile:160/avtorskaya-shkolakompleks/?from=bilim&place=list,95.7
№25,/profile:3507/25/?from=bilim&place=list," Горького, 2",https://bilim.akipress.org/profile:3507/25/?from=bilim&place=list,нет
СШ им.С.Мурзакматова,/profile:292/ssh-imsmurzakmatova/?from=bilim&place=list,"Нарынская область, Ат-Башынский район c.Бирдик ул. Булак 12",https://bilim.akipress.org/profile:292/ssh-imsmurzakmatova/?from=bilim&place=list,нет
СШ №39 Айры-Там,/profile:340/ssh-39-airytam/?from=bilim&place=list,"Джалал-Абадская область  , Ала-Букинский район c.Айры-Там 720701 с. Айры-Там ул. Токтогул",https://bilim.akipress.org/profile:340/ssh-39-airytam/?from=bilim&place=list,113.3
СШ имени А.Эшенкулова,/profile:2063/ssh-imeni-aeshenkulova/?from=bilim&place=list,"Ошская область, Араванский район c.Мангит 715321 ул.Мангыт",https://bilim.akipress.org/profile:2063/ssh-imeni-aeshenkulova/?from=bilim&place=list,121.5
СШ с.Жаны-Арык,/profile:1046/ssh-szhanyaryk/?from=bilim&place=list,"Ыссык-Кульская область, Ак-Суйский район c.Кара-Джал Жолдошбая №37",https://bilim.akipress.org/profile:1046/ssh-szhanyaryk/?from=bilim&place=list,113.7
Инновационная сш-гимназия №10 интернатного типа им.А.С.Макаренко,/profile:580/innovacionnaya-sshgimnaziya-10-internatnogo-tipa-i/?from=bilim&place=list,"Чуйская область, Жайылский район г.Кара-Балта 724440 ул.Коммунистическая 3",https://bilim.akipress.org/profile:580/innovacionnaya-sshgimnaziya-10-internatnogo-tipa-i/?from=bilim&place=list,нет
СШ им.Бейшеналиевой,/profile:625/ssh-imbeishenalievoi/?from=bilim&place=list,"Чуйская область, Аламудунский район c.Таш-Дебе 724329 ул. Больничная 54",https://bilim.akipress.org/profile:625/ssh-imbeishenalievoi/?from=bilim&place=list,123
СШ им. Исакова,/profile:1285/ssh-im-isakova/?from=bilim&place=list,"Баткенская область, Кадамжайский район c.Исамариам с. Исфайрам у. Исфайрам-1 №3",https://bilim.akipress.org/profile:1285/ssh-im-isakova/?from=bilim&place=list,нет
СШ им.З.М.Бабура,/profile:2094/ssh-imzmbabura/?from=bilim&place=list,"Ошская область, Араванский район c.А.Анарова 715320",https://bilim.akipress.org/profile:2094/ssh-imzmbabura/?from=bilim&place=list,133.3
СШ № 4 им.Ю.Гагарина,/profile:306/ssh-4-imyugagarina/?from=bilim&place=list,"Джалал-Абадская область  , г.Кок-Жангак г.г.Кок-Жангак ул. Ленина, 2.",https://bilim.akipress.org/profile:306/ssh-4-imyugagarina/?from=bilim&place=list,нет
Школа Жайылма,/profile:1744/shkola-zhaiylma/?from=bilim&place=list,"Ошская область, Ноокатский район c.Тоолос 723412 с.Жайылма улАшимова 66",https://bilim.akipress.org/profile:1744/shkola-zhaiylma/?from=bilim&place=list,94.8
Школа Нарай,/profile:1750/shkola-narai/?from=bilim&place=list,"Ошская область, Ноокатский район c.Он Эки-Бель 715340 с.Нарай",https://bilim.akipress.org/profile:1750/shkola-narai/?from=bilim&place=list,95.2
СШ им.Баглана,/profile:1736/ssh-imbaglana/?from=bilim&place=list,"Ошская область, Ноокатский район c.Кулатов 715347 с.Баглан",https://bilim.akipress.org/profile:1736/ssh-imbaglana/?from=bilim&place=list,81.3
СШ им.Нойгут,/profile:1763/ssh-imnoigut/?from=bilim&place=list,"Ошская область, Ноокатский район c.Кара-Таш 715339 с.Нойгут улАкбарали каары",https://bilim.akipress.org/profile:1763/ssh-imnoigut/?from=bilim&place=list,94.7
СШ №18 им.Ж.Бешимова,/profile:371/ssh-18-imzhbeshimova/?from=bilim&place=list,"Джалал-Абадская область  , Ала-Букинский район c.Оруктусай 720711  с. Орукту-Сай",https://bilim.akipress.org/profile:371/ssh-18-imzhbeshimova/?from=bilim&place=list,114.3
СШ им.Кулуштан,/profile:1735/ssh-imkulushtan/?from=bilim&place=list,"Ошская область, Ноокатский район c.Тоолос 715347 с.Кулуштан",https://bilim.akipress.org/profile:1735/ssh-imkulushtan/?from=bilim&place=list,85.4
СШ им.Беруния,/profile:1784/ssh-imberuniya/?from=bilim&place=list,"Ошская область, Ноокатский район c.Мирмахмудова 715333 с.Эски-Наукат ул.Партсъезд 2",https://bilim.akipress.org/profile:1784/ssh-imberuniya/?from=bilim&place=list,111.1
СШ им.Герейта-Шорона,/profile:1747/ssh-imgereitashorona/?from=bilim&place=list,"Ошская область, Ноокатский район c.Тоолос 715348 с.Орнок ул.Айдарова 52",https://bilim.akipress.org/profile:1747/ssh-imgereitashorona/?from=bilim&place=list,99.9
"СШ №2 им.М. Хакимова-""Дома-Ата""",/profile:1302/ssh-2-imm-hakimovadomaata/?from=bilim&place=list,"Джалал-Абадская область  , Сузакский район c.Сузак Сузак, улица Дома-Ата",https://bilim.akipress.org/profile:1302/ssh-2-imm-hakimovadomaata/?from=bilim&place=list,94
СШ им.Парпиева,/profile:1967/ssh-imparpieva/?from=bilim&place=list,"Ошская область, Карасууский район c.Шарк 723330 с.Падаван",https://bilim.akipress.org/profile:1967/ssh-imparpieva/?from=bilim&place=list,117.9
СШ им.Ж.Турусбекова,/profile:2045/ssh-imzhturusbekova/?from=bilim&place=list,"Баткенская область, Баткенский район c.Дара с-у Дара. с. Кайыңды",https://bilim.akipress.org/profile:2045/ssh-imzhturusbekova/?from=bilim&place=list,103.5
Иновационная СШ им. Карыбек уулу Акматаалы,/profile:248/inovacionnaya-ssh-im-karybek-uulu-akmataaly/?from=bilim&place=list,"Нарынская область, Ат-Башынский район c.Ат-Башы ул.Абыкеева 42",https://bilim.akipress.org/profile:248/inovacionnaya-ssh-im-karybek-uulu-akmataaly/?from=bilim&place=list,103.6
СШ им. Курбанова,/profile:942/ssh-im-kurbanova/?from=bilim&place=list,"Баткенская область, Кадамжайский район c.Уч-Коргон _________",https://bilim.akipress.org/profile:942/ssh-im-kurbanova/?from=bilim&place=list,нет
"Лицей ""Айчурок""",/profile:244/licei-aichurok/?from=bilim&place=list,"Бишкек, Свердловский район  г.Бишкек, мкрн.Аламедин-1",https://bilim.akipress.org/profile:244/licei-aichurok/?from=bilim&place=list,98.9
Средняя общеобразовательная школа № 95,/profile:3500/srednyaya-obshcheobrazovatelnaya-shkola-95/?from=bilim&place=list," Микрорайон Джал, Бишкек",https://bilim.akipress.org/profile:3500/srednyaya-obshcheobrazovatelnaya-shkola-95/?from=bilim&place=list,нет
1-Мая,/profile:3499/1maya/?from=bilim&place=list," Кадамжайский район, село Чечме",https://bilim.akipress.org/profile:3499/1maya/?from=bilim&place=list,нет
УВК-гимназия №38,/profile:2165/uvkgimnaziya-38/?from=bilim&place=list,"Бишкек, Свердловский район  Аламедин 1,720083",https://bilim.akipress.org/profile:2165/uvkgimnaziya-38/?from=bilim&place=list,126.1
СШ им. А.Куручбекова cело Эрикту,/profile:568/ssh-im-akuruchbekova-celo-eriktu/?from=bilim&place=list,"Чуйская область, Жайылский район c.Эриктуу 724426 улица им. Молдобека Акматова",https://bilim.akipress.org/profile:568/ssh-im-akuruchbekova-celo-eriktu/?from=bilim&place=list,нет
Ивановская СШ № 1,/profile:485/ivanovskaya-ssh-1/?from=bilim&place=list,"Чуйская область, Ысыкатинский район c.Ивановка 725008 ул.Г.Ильина175",https://bilim.akipress.org/profile:485/ivanovskaya-ssh-1/?from=bilim&place=list,111.8
СШ им. Ш.Султанова,/profile:1011/ssh-im-shsultanova/?from=bilim&place=list,"Ыссык-Кульская область, Тюпский район c.Ой-Тал 722331 ул Гагарина №20",https://bilim.akipress.org/profile:1011/ssh-im-shsultanova/?from=bilim&place=list,101.1
СШ им.Жаналиева,/profile:289/ssh-imzhanalieva/?from=bilim&place=list,"Нарынская область, Ат-Башынский район c.Ак-Джар ул. Каракозиева 63",https://bilim.akipress.org/profile:289/ssh-imzhanalieva/?from=bilim&place=list,130.1
Эколого-экономический лицей №65,/profile:2195/ekologoekonomicheskii-licei-65/?from=bilim&place=list,"Бишкек, Свердловский район  Гоголя 59",https://bilim.akipress.org/profile:2195/ekologoekonomicheskii-licei-65/?from=bilim&place=list,102.8
ШГ №33,/profile:127/shg-33/?from=bilim&place=list,"Бишкек, Свердловский район  720033 г. Бишкек, ул. Тоголока Молдо, 73",https://bilim.akipress.org/profile:127/shg-33/?from=bilim&place=list,111.1
ШГ Олимп,/profile:893/shg-olimp/?from=bilim&place=list,"Ош, г. Ош г.Ош 723500,ул.Алиева 72а",https://bilim.akipress.org/profile:893/shg-olimp/?from=bilim&place=list,170.1
СШ им.К.Мамбеталиева,/profile:290/ssh-imkmambetalieva/?from=bilim&place=list,"Нарынская область, Ат-Башынский район c.Ат-Башы ул.М. Омуракунов 91",https://bilim.akipress.org/profile:290/ssh-imkmambetalieva/?from=bilim&place=list,108.5
"Ак-Суусская СШ №4, с.Ак-Суу",/profile:614/aksuusskaya-ssh-4-saksuu/?from=bilim&place=list,"Чуйская область, Московский район c.Ак-Cуу 724601 ул Вокзальная,45",https://bilim.akipress.org/profile:614/aksuusskaya-ssh-4-saksuu/?from=bilim&place=list,124.1
СШ им.М.Мамбетова,/profile:235/ssh-immmambetova/?from=bilim&place=list,"Нарынская область, Нарынский район c.Эки-Нарын ",https://bilim.akipress.org/profile:235/ssh-immmambetova/?from=bilim&place=list,нет
СШ им.Т. Мырзамамбетова,/profile:275/ssh-imt-myrzamambetova/?from=bilim&place=list,"Ыссык-Кульская область, Тонский район c.Тогуз-Булак ул. А.Асанова №26",https://bilim.akipress.org/profile:275/ssh-imt-myrzamambetova/?from=bilim&place=list,нет
СШ Ноорузбаева с.Сарыкамыш,/profile:1100/ssh-nooruzbaeva-ssarykamysh/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Сары-камыш 772301, ул.Байтулак 1",https://bilim.akipress.org/profile:1100/ssh-nooruzbaeva-ssarykamysh/?from=bilim&place=list,109.6
